"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,0,0,65,204
Angola,0,0,0,3,3,31,51
Benin,0,0,0,0,0,17,36
Botswana,0,0,0,0,0,12,19
Burkina Faso,0,0,0,0,0,10,47
Burundi,0,0,0,0,0,11,18
Cabo Verde,0,0,0,0,0,4,"1,096"
Cameroon,0,0,0,0,0,106,574
Central African Republic,0,0,0,0,0,4,7
Chad,0,0,0,0,0,4,10
Comoros,0,0,0,0,0,2,3
"Congo, Dem. Rep. of the",0,0,0,0,0,43,233
"Congo, Rep. of the",0,0,0,0,0,6,10
Cote d'Ivoire,0,0,0,0,0,34,152
Djibouti,0,0,0,0,0,13,20
Egypt,0,0,0,57,57,901,"1,954"
Equatorial Guinea,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,40,225
Ethiopia,0,0,0,0,0,178,"2,223"
Gabon,0,0,0,0,0,10,16
"Gambia, The",0,0,0,0,0,15,125
Ghana,0,0,0,0,0,269,"1,515"
Guinea,0,0,0,0,0,16,124
Guinea-Bissau,0,0,0,0,0,1,5
Kenya,1,0,0,0,1,431,820
Lesotho,0,0,0,0,0,0,2
Liberia,0,0,0,0,0,16,326
Libya,0,0,0,4,4,74,106
Madagascar,0,0,0,0,0,20,26
Malawi,0,0,0,0,0,22,33
Mali,0,0,0,0,0,27,55
Mauritania,0,0,0,0,0,20,33
Mauritius,0,0,0,0,0,36,46
Morocco,1,0,0,0,1,153,523
Western Sahara,0,0,0,0,0,0,0
TOTAL,1,0,0,0,1,153,523
Mozambique,0,0,0,0,0,9,11
Namibia,0,0,0,0,0,12,13
Niger,0,0,0,0,0,13,22
Nigeria,0,0,0,58,58,"1,020","3,513"
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Rwanda,0,0,0,0,0,21,37
Sao Tome and Principe,0,0,0,0,0,1,3
Senegal,0,0,0,0,0,55,168
Seychelles,0,0,0,0,0,1,6
Sierra Leone,0,0,0,0,0,11,137
Somalia,0,0,0,0,0,14,194
South Africa,3,5,0,32,40,957,"1,058"
South Sudan,0,0,0,0,0,0,2
Sudan,0,0,0,1,1,31,152
Swaziland,0,0,0,0,0,2,2
Tanzania,0,0,0,0,0,66,147
Togo,0,0,0,0,0,12,198
Tunisia,0,0,0,0,0,49,66
Uganda,0,1,0,0,1,118,226
Zambia,1,0,0,0,1,96,112
Zimbabwe,0,0,0,3,3,142,215
Region Total For Africa,6,6,0,158,170,"5,221","16,919"
Asia,,,,,,,
Afghanistan,0,0,0,19,19,49,418
Bahrain,0,0,0,5,5,86,108
Bangladesh,4,2,0,30,36,666,"10,382"
Bhutan,0,0,0,0,0,16,19
Brunei,0,0,0,0,0,9,11
Burma,0,1,0,4,5,69,661
Cambodia,0,0,0,0,0,59,608
China - mainland born,143,367,9,"6,997","7,516","19,986","35,940"
"- Taiwan born",7,10,0,186,203,"2,189","3,103"
"- PRC nationals adjusting under CSPA",0,0,0,0,0,0,0
Hong Kong S.A.R.,2,7,0,56,65,545,"1,469"
India,6,32,0,111,149,"20,401","36,553"
Indonesia,0,0,0,12,12,402,578
Iran,0,4,0,36,40,"1,583","4,060"
Iraq,0,0,0,1,1,65,347
Israel,12,0,0,6,18,"1,737","1,900"
Japan,1,1,0,33,35,"1,660","1,813"
Jordan,0,0,0,18,18,328,"1,976"
"Korea, North",0,0,0,0,0,33,35
"Korea, South",10,16,0,234,260,"13,631","14,881"
Kuwait,0,0,0,6,6,267,451
Laos,0,0,0,0,0,13,127
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Lebanon,0,1,0,1,2,377,"1,187"
Malaysia,0,0,0,12,12,586,794
Maldives,0,0,0,0,0,1,1
Mongolia,1,0,0,0,1,112,138
Nepal,0,0,0,0,0,"1,451","2,424"
Oman,0,0,0,0,0,45,59
Pakistan,0,10,0,21,31,"2,103","9,307"
Philippines,0,0,0,16,16,"8,917","22,798"
Qatar,0,0,0,0,0,49,76
Saudi Arabia,0,0,0,9,9,349,577
Singapore,0,2,0,21,23,450,491
Sri Lanka,0,0,0,0,0,504,762
Syria,0,1,0,11,12,244,"1,423"
Thailand,1,0,0,4,5,372,678
Timor-Leste,0,0,0,0,0,0,0
United Arab Emirates,0,5,0,13,18,485,700
Vietnam,9,5,0,320,334,"1,216","21,600"
Yemen,0,0,0,1,1,39,"4,162"
Region Total For Asia,196,464,9,"8,183","8,852","81,094","182,617"
Europe,,,,,,,
Albania,0,0,0,0,0,77,"1,044"
Andorra,0,0,0,0,0,5,5
Armenia,0,0,0,0,0,95,394
Austria,0,0,0,0,0,154,162
Azerbaijan,0,0,0,0,0,55,125
Belarus,5,0,0,0,5,306,405
Belgium,0,5,0,0,5,309,322
Bosnia and Herzegovina,0,0,0,0,0,66,192
Bulgaria,0,0,0,0,0,297,476
Croatia,0,0,0,0,0,73,99
Cyprus,0,0,0,0,0,22,28
Czech Republic,4,2,0,3,9,157,166
Denmark,0,0,0,0,0,250,263
Faroe Islands,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,1,1
TOTAL,0,0,0,0,0,251,264
Estonia,0,0,0,0,0,35,48
Finland,0,0,0,0,0,228,240
France,14,4,2,34,54,"2,511","2,668"
French Polynesia,0,0,0,0,0,5,5
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
French Southern and Antarctic Lands,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,1,1
Saint Barthelemy,0,0,0,0,0,1,1
Saint Martin,0,0,0,0,0,1,3
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,14,4,2,34,54,"2,519","2,678"
Georgia,0,0,0,1,1,89,232
Germany,2,9,0,27,38,"1,701","1,864"
Great Britain and Northern Ireland,6,4,0,66,76,"5,276","5,818"
Anguilla,0,0,0,0,0,0,3
Bermuda,0,0,0,0,0,18,27
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,5,8
Cayman Islands,0,0,0,0,0,3,9
Falkland Islands,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,1,3
Montserrat,0,0,0,0,0,0,5
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,1,4
TOTAL,6,4,0,66,76,"5,304","5,877"
Greece,0,0,0,4,4,346,407
Hungary,0,0,0,0,0,267,289
Iceland,0,0,0,0,0,50,52
Ireland,0,0,0,0,0,686,730
Italy,0,4,0,17,21,"1,360","1,502"
Kazakhstan,1,1,0,15,17,154,224
Kosovo,0,0,0,0,0,25,137
Kyrgyzstan,0,0,0,0,0,46,86
Latvia,0,0,0,0,0,62,99
Liechtenstein,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,62,122
Luxembourg,0,0,0,1,1,16,16
Macedonia,0,0,0,0,0,45,254
Malta,0,0,0,0,0,8,8
Moldova,0,0,0,2,2,107,240
Monaco,0,0,0,0,0,4,5
Montenegro,0,0,0,0,0,13,98
Netherlands,6,5,0,1,12,558,582
Aruba,0,0,0,0,0,3,4
Curacao,0,0,0,0,0,8,14
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Sint Maarten,0,0,0,0,0,3,12
TOTAL,6,5,0,1,12,572,612
Norway,0,0,0,0,0,106,118
Svalbard,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,106,118
Poland,0,0,0,0,0,806,"1,702"
Portugal,0,0,0,5,5,194,260
Macau,1,1,0,12,14,39,68
TOTAL,1,1,0,17,19,233,328
Romania,0,0,0,1,1,574,846
Russia,4,6,0,96,106,"1,809","2,373"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,153,251
Slovakia,0,0,0,0,0,95,115
Slovenia,0,0,0,0,0,36,40
Spain,0,0,0,2,2,"1,364","1,480"
Sweden,0,0,0,3,3,467,493
Switzerland,0,0,0,2,2,281,290
Tajikistan,0,1,0,0,1,49,75
Turkey,0,0,0,19,19,"1,162","1,362"
Turkmenistan,0,0,0,0,0,22,37
Ukraine,0,6,0,18,24,979,"1,958"
Uzbekistan,0,0,0,5,5,140,701
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,43,48,2,334,427,"23,842","31,671"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,12,96
"Bahamas, The",0,0,0,0,0,61,110
Barbados,0,0,0,0,0,40,111
Belize,0,0,0,0,0,49,236
Canada,5,6,0,48,59,"5,321","5,897"
Costa Rica,0,0,0,0,0,245,390
Cuba,0,0,0,0,0,8,"4,189"
Dominica,0,0,0,0,0,23,219
Dominican Republic,0,0,0,4,4,325,"28,778"
El Salvador,0,0,0,0,0,"1,741","8,265"
Grenada,0,0,0,0,0,27,107
Guatemala,0,0,0,0,0,"1,449","3,971"
Haiti,0,0,0,0,0,195,"8,770"
Honduras,0,0,0,0,0,"1,208","3,436"
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Jamaica,1,2,0,0,3,847,"6,365"
Mexico,3,2,0,52,57,"6,049","39,937"
Nicaragua,0,0,0,0,0,79,806
Panama,0,0,0,2,2,93,249
Saint Kitts and Nevis,0,0,0,0,0,4,69
Saint Lucia,0,0,0,2,2,36,139
Saint Vincent and the Grenadines,0,0,0,0,0,31,112
Trinidad and Tobago,0,0,0,1,1,262,865
Region Total For North America,9,10,0,109,128,"18,105","113,117"
Oceania,,,,,,,
Australia,7,5,0,5,17,"1,024","1,071"
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,7,5,0,5,17,"1,024","1,071"
Fiji,0,0,0,0,0,15,288
Kiribati,0,0,0,0,0,1,1
Marshall Islands,0,0,0,0,0,0,1
"Micronesia, Federated States of",0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0
New Zealand,0,0,0,4,4,238,256
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,0,0,0,4,4,238,256
Palau,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,4,6
Samoa,0,0,0,0,0,2,7
Solomon Islands,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,8,63
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,1
Region Total For Oceania,7,5,0,9,21,"1,292","1,694"
South America,,,,,,,
Argentina,4,3,2,27,36,"1,363","1,557"
Bolivia,0,0,0,4,4,107,383
Brazil,8,14,0,128,150,"3,564","4,097"
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Chile,0,0,0,0,0,390,472
Colombia,0,11,0,24,35,"1,375","4,520"
Ecuador,0,3,0,8,11,679,"3,618"
Guyana,0,0,0,0,0,64,"3,502"
Paraguay,0,0,0,0,0,49,85
Peru,0,0,0,0,0,479,"3,266"
Suriname,0,0,0,0,0,8,53
Uruguay,0,0,0,4,4,112,142
Venezuela,0,9,0,100,109,"2,606","3,328"
Region Total For South America,12,40,2,295,349,"10,796","25,023"
Grand Totals,273,573,13,"9,088","9,947","140,350","371,041"
