,,,5th,5th,,,
,5th,5th Target,Regional,Regional,,Employ.,
,Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,1,1,75,274
Angola,0,0,0,1,1,19,34
Benin,0,0,0,0,0,14,76
Botswana,0,0,0,0,0,11,16
Burkina Faso,0,0,0,0,0,15,51
Burundi,0,0,0,0,0,4,17
Cabo Verde,0,0,0,0,0,9,993
Cameroon,0,0,0,0,0,77,635
Central African Republic,0,0,0,0,0,0,0
Chad,0,0,0,0,0,1,4
Comoros,0,0,0,0,0,3,4
"Congo, Dem. Rep. of the",0,0,0,0,0,55,448
"Congo, Rep. of the",0,0,0,0,0,30,47
Cote d'Ivoire,0,0,0,5,5,51,204
Djibouti,0,0,0,0,0,2,8
Egypt,0,8,0,37,45,995,"2,150"
Equatorial Guinea,0,0,0,0,0,2,2
Eritrea,0,0,0,2,2,44,314
Eswatini,0,0,0,0,0,8,13
Ethiopia,1,1,0,2,4,268,"2,276"
Gabon,0,0,0,0,0,10,24
"Gambia, The",0,0,0,0,0,7,163
Ghana,0,0,0,4,4,290,"1,897"
Guinea,0,0,0,0,0,10,149
Guinea-Bissau,0,0,0,0,0,1,4
Kenya,0,0,0,3,3,580,"1,124"
Lesotho,0,0,0,0,0,2,6
Liberia,0,0,0,0,0,34,402
Libya,0,0,0,0,0,181,208
Madagascar,0,0,0,0,0,27,33
Malawi,0,0,0,0,0,29,37
Mali,0,0,0,4,4,19,66
Mauritania,0,0,0,0,0,8,25
Mauritius,0,0,0,1,1,24,37
Morocco,0,0,0,5,5,151,449
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,5,5,151,449
Mozambique,0,0,0,1,1,11,18
Namibia,0,0,0,1,1,6,7
Niger,0,0,0,0,0,22,28
Nigeria,0,0,5,108,113,"1,278","4,140"
Rwanda,0,0,0,0,0,29,74
Sao Tome and Principe,0,0,0,0,0,0,3
Senegal,0,0,0,0,0,64,279
Seychelles,0,0,0,0,0,1,2
Sierra Leone,0,0,0,1,1,12,264
Somalia,0,0,0,0,0,11,128
South Africa,5,0,0,86,91,"1,017","1,106"
South Sudan,0,0,0,0,0,1,10
Sudan,0,0,0,10,10,49,208
Tanzania,0,0,0,1,1,92,154
Togo,0,1,0,0,1,15,257
Tunisia,0,0,0,0,0,87,100
Uganda,0,0,0,2,2,104,241
Zambia,0,0,0,0,0,74,103
Zimbabwe,0,0,0,0,0,151,200
Region Total For Africa,6,10,5,275,296,"6,080","19,512"
Asia,,,,,,,
Afghanistan,0,0,0,7,7,35,411
Bahrain,0,0,0,2,2,66,82
Bangladesh,0,0,0,21,21,908,"8,725"
Bhutan,0,0,0,0,0,9,11
Brunei,0,0,0,0,0,11,17
Burma,0,0,0,0,0,60,631
Cambodia,2,1,0,0,3,186,848
China - mainland born,102,86,13,"4,441","4,642","18,455","31,038"
#NAME?,0,0,0,0,0,1,1
#NAME?,7,20,0,425,452,"2,732","3,715"
Hong Kong S.A.R.,4,15,0,181,200,605,"1,320"
India,8,59,0,518,585,"22,524","38,479"
Indonesia,0,1,0,11,12,343,528
Iran,0,6,0,53,59,"2,598","3,196"
Iraq,0,0,0,29,29,96,504
Israel,0,3,0,22,25,"1,876","2,031"
Japan,0,4,0,62,66,"1,632","1,725"
Jordan,0,0,0,16,16,386,"1,773"
"Korea, North",0,0,0,0,0,44,45
"Korea, South",11,10,0,510,531,"10,684","11,844"
Kuwait,0,0,0,4,4,249,436
Laos,0,0,0,0,0,27,134
Lebanon,0,0,0,18,18,329,"1,158"
Malaysia,0,2,0,54,56,588,777
Maldives,0,0,0,0,0,0,1
Mongolia,0,0,0,0,0,93,133
Nepal,0,0,0,0,0,"1,615","2,661"
Oman,0,0,0,2,2,49,56
Pakistan,0,4,0,99,103,"2,370","7,982"
Philippines,0,0,0,18,18,"8,985","24,001"
Qatar,0,0,0,16,16,69,103
Saudi Arabia,0,0,0,15,15,357,652
Singapore,0,1,0,34,35,455,499
Sri Lanka,0,0,0,2,2,464,646
Syria,6,0,0,26,32,284,732
Thailand,0,1,0,6,7,446,789
Timor-Leste,0,0,0,0,0,1,1
United Arab Emirates,0,7,0,47,54,616,853
Vietnam,1,14,0,678,693,"1,554","19,727"
Yemen,0,0,0,0,0,29,368
Region Total For Asia,141,234,13,"7,317","7,705","81,831","168,633"
Europe,,,,,,,
Albania,0,0,0,0,0,107,"1,047"
Andorra,0,0,0,0,0,0,0
Armenia,0,0,0,4,4,155,503
Austria,0,0,0,2,2,193,208
Azerbaijan,0,0,0,3,3,56,131
Belarus,0,0,0,1,1,276,420
Belgium,0,1,0,3,4,250,269
Bosnia and Herzegovina,0,0,0,0,0,68,195
Bulgaria,0,0,0,0,0,241,440
Croatia,0,0,0,0,0,73,102
Cyprus,0,0,0,0,0,34,40
Czech Republic,0,0,0,0,0,143,159
Denmark,0,3,0,0,3,173,187
Faroe Islands,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0
TOTAL,0,3,0,0,3,173,187
Estonia,0,0,0,0,0,37,42
Finland,0,0,0,1,1,270,276
France,4,4,0,66,74,"2,348","2,489"
French Polynesia,0,0,0,0,0,2,3
French Southern and Antarctic Lands,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0
Saint Barthelemy,0,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0,2
St. Pierre and Miquelon,0,0,0,0,0,1,1
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,4,4,0,66,74,"2,351","2,495"
Georgia,0,0,0,0,0,110,260
Germany,3,4,0,21,28,"1,724","1,880"
Great Britain and Northern Ireland,1,11,0,72,84,"4,346","4,833"
Anguilla,0,0,0,0,0,1,6
Bermuda,0,0,0,0,0,10,11
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,3,12
Cayman Islands,0,0,0,0,0,5,12
Falkland Islands,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,2,2
Montserrat,0,0,0,0,0,0,0
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,6
TOTAL,1,11,0,72,84,"4,367","4,882"
Greece,0,0,0,1,1,393,455
Hungary,0,2,0,5,7,261,303
Iceland,0,0,0,0,0,55,59
Ireland,2,0,0,3,5,624,654
Italy,7,0,0,34,41,"1,400","1,573"
Kazakhstan,0,0,0,5,5,162,231
Kosovo,0,0,0,0,0,11,163
Kyrgyzstan,0,0,0,5,5,44,106
Latvia,0,0,0,1,1,49,63
Liechtenstein,0,0,0,0,0,0,0
Lithuania,3,0,0,0,3,78,134
Luxembourg,0,0,0,0,0,12,13
Macedonia,0,0,0,0,0,30,242
Malta,0,0,0,0,0,7,8
Moldova,0,0,0,0,0,97,237
Monaco,0,0,0,1,1,4,5
Montenegro,0,0,0,0,0,17,92
Netherlands,0,2,0,9,11,446,477
Aruba,0,0,0,1,1,6,7
Curacao,0,0,0,4,4,6,11
Sint Maarten,0,0,0,0,0,0,12
TOTAL,0,2,0,14,16,458,507
Norway,0,0,0,1,1,93,104
Svalbard,0,0,0,0,0,0,0
TOTAL,0,0,0,1,1,93,104
Poland,0,0,0,6,6,789,"1,564"
Portugal,0,0,0,2,2,226,278
Macau,0,0,0,0,0,26,49
TOTAL,0,0,0,2,2,252,327
Romania,0,0,0,5,5,528,736
Russia,3,5,0,126,134,"2,307","2,852"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,162,247
Slovakia,0,0,0,0,0,70,89
Slovenia,0,0,0,0,0,34,35
Spain,0,2,0,6,8,"1,189","1,327"
Sweden,2,0,0,1,3,375,415
Switzerland,0,0,0,8,8,259,270
Tajikistan,0,0,0,0,0,38,80
Turkey,0,0,0,69,69,"1,610","1,816"
Turkmenistan,0,0,0,0,0,25,47
Ukraine,6,1,0,15,22,"1,281","2,308"
Uzbekistan,0,0,0,7,7,133,686
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,31,35,0,488,554,"23,475","31,284"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,11,97
"Bahamas, The",0,0,0,0,0,64,138
Barbados,0,0,0,0,0,34,104
Belize,0,0,0,0,0,20,120
Canada,12,7,0,90,109,"4,932","5,308"
Costa Rica,0,0,0,0,0,206,373
Cuba,0,0,0,0,0,9,"3,548"
Dominica,0,0,0,0,0,18,225
Dominican Republic,0,0,0,4,4,234,"31,529"
El Salvador,0,0,0,0,0,"1,459","8,860"
Grenada,0,0,0,0,0,28,119
Guatemala,1,0,0,1,2,"1,181","4,301"
Haiti,0,0,0,0,0,169,"8,322"
Honduras,0,0,0,4,4,"1,109","3,495"
Jamaica,0,0,0,4,4,953,"6,715"
Mexico,16,3,8,147,174,"5,692","41,655"
Nicaragua,0,0,0,0,0,84,855
Panama,0,0,0,0,0,67,250
Saint Kitts and Nevis,0,0,0,0,0,3,140
Saint Lucia,0,0,0,0,0,27,180
Saint Vincent and the Grenadines,0,0,0,0,0,7,83
Trinidad and Tobago,0,0,0,2,2,171,879
Region Total For North America,29,10,8,252,299,"16,478","117,296"
Oceania,,,,,,,
Australia,4,0,0,5,9,"1,007","1,059"
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,4,0,0,5,9,"1,007","1,059"
Fiji,0,0,0,0,0,14,302
Kiribati,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0
"Micronesia, Federated States of",0,0,0,0,0,1,1
Nauru,0,0,0,0,0,1,1
New Zealand,1,1,0,7,9,232,245
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,1,1,0,7,9,232,245
Palau,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,4,4
Samoa,0,0,0,0,0,3,11
Solomon Islands,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,37
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0
Region Total For Oceania,5,1,0,12,18,"1,262","1,660"
South America,,,,,,,
Argentina,0,0,0,25,25,976,"1,161"
Bolivia,0,0,0,0,0,122,402
Brazil,0,31,0,357,388,"4,353","5,100"
Chile,0,0,0,4,4,289,415
Colombia,0,9,0,47,56,"1,121","4,329"
Ecuador,1,1,0,5,7,440,"3,723"
Guyana,0,0,0,0,0,56,"3,187"
Paraguay,0,0,0,0,0,28,63
Peru,0,1,0,6,7,427,"3,305"
Suriname,0,0,0,1,1,8,65
Uruguay,0,2,0,3,5,94,138
Venezuela,7,27,0,203,237,"2,443","3,300"
Region Total For South America,8,71,0,651,730,"10,357","25,188"
Grand Totals,220,361,26,"8,995","9,602","139,483","363,573"